submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s260975309,p02971,u347397127,1601010420,Python,PyPy3 (7.3.0),py,Time Limit Exceeded,2208,83868,115,
s880910511,p02971,u625864724,1600136781,Python,Python (3.8.2),py,Accepted,370,24784,370,
s535996910,p02971,u833416137,1599874557,Python,PyPy3 (7.3.0),py,Accepted,291,89792,221,
s752263637,p02971,u046826851,1599112156,Python,Python (3.8.2),py,Accepted,367,18852,170,
s067739462,p02971,u945761460,1598898013,Python,Python (3.8.2),py,Time Limit Exceeded,2206,17024,250,
s891830011,p02971,u395620499,1598846166,Python,Python (3.8.2),py,Accepted,345,19068,173,
s545663647,p02971,u863397945,1598018563,Python,Python (3.8.2),py,Time Limit Exceeded,2206,21748,141,
s190285082,p02971,u145145077,1597156153,Python,Python (3.8.2),py,Accepted,375,19052,220,
s952893906,p02971,u815763296,1595559323,Python,Python (3.8.2),py,Accepted,361,10852,352,
s278448168,p02971,u038216098,1595536833,Python,Python (3.8.2),py,Accepted,399,18976,182,
s275599256,p02971,u146803137,1594745383,Python,Python (3.8.2),py,Accepted,371,18944,174,
s211799967,p02971,u811176339,1593611076,Python,Python (3.8.2),py,Accepted,155,10680,310,
s997634028,p02971,u780698286,1592593603,Python,PyPy3 (7.3.0),py,Time Limit Exceeded,2208,100472,275,
s220175720,p02971,u485319545,1591575639,Python,PyPy3 (2.4.0),py,Accepted,1092,84516,285,
s962136143,p02971,u638033979,1591286176,Python,Python (3.4.3),py,Accepted,566,14108,291,
s562260482,p02971,u701077471,1591257012,Python,PyPy3 (2.4.0),py,Wrong Answer,2110,112448,393,
s028475537,p02971,u522293645,1591088880,Python,Python (3.4.3),py,Time Limit Exceeded,2104,12588,160,
s888768500,p02971,u842747358,1589997616,Python,Python (3.4.3),py,Time Limit Exceeded,2104,11052,128,
s701955669,p02971,u699944218,1589858428,Python,Python (3.4.3),py,Time Limit Exceeded,2119,189744,182,
s349527826,p02971,u495667483,1589681700,Python,PyPy3 (2.4.0),py,Accepted,408,59344,242,
s453270871,p02971,u240249402,1589425137,Python,PyPy3 (7.3.0),py,Accepted,348,89652,176,
s633000622,p02971,u461833298,1589400473,Python,Python (3.4.3),py,Accepted,562,13404,172,
s314882556,p02971,u854685063,1588991041,Python,PyPy3 (2.4.0),py,Accepted,442,61136,570,
s518444337,p02971,u453055089,1588150169,Python,PyPy3 (2.4.0),py,Accepted,865,58328,257,
s744481570,p02971,u952968889,1587867389,Python,Python (3.4.3),py,Accepted,302,14108,67,
s960671991,p02971,u735335967,1587270477,Python,Python (3.4.3),py,Accepted,581,14112,267,
s327565946,p02971,u157672361,1587182168,Python,PyPy3 (2.4.0),py,Time Limit Exceeded,2107,59316,136,
s278074546,p02971,u374671031,1586806806,Python,PyPy3 (2.4.0),py,Time Limit Exceeded,2107,68952,284,
s187307863,p02971,u051928503,1586580926,Python,Python (3.4.3),py,Time Limit Exceeded,2108,17604,153,
s711637613,p02971,u016901717,1586460762,Python,Python (3.4.3),py,Wrong Answer,536,14068,142,
s440388270,p02971,u628581330,1585160932,Python,Python (3.4.3),py,Accepted,1224,26168,199,
s195968416,p02971,u490489966,1585158732,Python,Python (3.4.3),py,Accepted,557,14480,232,
s766099740,p02971,u557282438,1584482898,Python,Python (3.4.3),py,Wrong Answer,1356,29384,349,
s301894726,p02971,u896726004,1584415455,Python,Python (3.4.3),py,Time Limit Exceeded,2104,17652,299,
s413247923,p02971,u123745130,1583465501,Python,Python (3.4.3),py,Time Limit Exceeded,2104,22328,344,
s191290278,p02971,u547167033,1583360077,Python,Python (3.4.3),py,Accepted,692,14568,169,
s878493682,p02971,u397384480,1582601321,Python,PyPy3 (2.4.0),py,Wrong Answer,919,57432,286,
s448909972,p02971,u346424924,1582376019,Python,Python (3.4.3),py,Accepted,537,14112,180,
s784870101,p02971,u606523772,1582303969,Python,Python (3.4.3),py,Wrong Answer,591,14112,408,
s066164033,p02971,u743164083,1581625161,Python,PyPy3 (2.4.0),py,Runtime Error,177,38352,227,
s896850140,p02971,u743164083,1581622140,Python,Python (3.4.3),py,Time Limit Exceeded,2104,15616,147,
s742145091,p02971,u196675341,1580783403,Python,Python (3.4.3),py,Accepted,535,13340,210,
s522414407,p02971,u537905693,1580439969,Python,Python (3.4.3),py,Accepted,514,12540,527,
s027928735,p02971,u303039933,1579969886,Python,PyPy3 (2.4.0),py,Accepted,942,68768,1407,
s256798153,p02971,u015593272,1579963885,Python,Python (3.4.3),py,Accepted,519,12516,241,
s179753521,p02971,u007263493,1578460640,Python,Python (3.4.3),py,Accepted,569,14192,170,
s752766881,p02971,u489762173,1578413302,Python,Python (3.4.3),py,Accepted,301,14104,256,
s969302602,p02971,u489762173,1578413266,Python,PyPy3 (2.4.0),py,Accepted,414,60112,256,
s086071806,p02971,u685662874,1577410685,Python,Python (3.4.3),py,Runtime Error,384,11804,173,
s760076671,p02971,u140191608,1576631046,Python,Python (3.4.3),py,Time Limit Exceeded,2104,16608,219,
s319527207,p02971,u677121387,1576460557,Python,Python (3.4.3),py,Accepted,556,12520,341,
s077559985,p02971,u300579805,1575748081,Python,Python (3.4.3),py,Accepted,505,14080,333,
s082349306,p02971,u597455618,1574589112,Python,Python (3.4.3),py,Wrong Answer,574,12476,123,
s000308360,p02971,u852798899,1574304374,Python,PyPy3 (2.4.0),py,Accepted,888,68568,205,
s519420442,p02971,u348868667,1573948166,Python,Python (3.4.3),py,Runtime Error,488,12532,204,
s640534154,p02971,u831752983,1573595219,Python,Python (3.4.3),py,Runtime Error,17,3064,238,
s525906788,p02971,u116233709,1572967750,Python,Python (3.4.3),py,Runtime Error,18,2940,156,
s500911418,p02971,u831752983,1572296293,Python,Python (3.4.3),py,Time Limit Exceeded,2104,13080,131,
s368126702,p02971,u588093355,1571872466,Python,Python (3.4.3),py,Accepted,502,4668,258,
s709564432,p02971,u753803401,1571673939,Python,PyPy3 (2.4.0),py,Accepted,437,59824,335,
s402496720,p02971,u961674365,1571436193,Python,Python (3.4.3),py,Time Limit Exceeded,2104,16024,110,
s884138393,p02971,u829908012,1571272514,Python,Python (3.4.3),py,Time Limit Exceeded,2104,13404,173,
s455925279,p02971,u897536433,1571172566,Python,Python (3.4.3),py,Wrong Answer,571,13348,203,
s538561925,p02971,u016881126,1570998187,Python,PyPy3 (2.4.0),py,Wrong Answer,2107,57612,163,
s515950515,p02971,u962330718,1570728312,Python,Python (3.4.3),py,Accepted,621,14636,148,
s208019045,p02971,u720124072,1570636459,Python,Python (3.4.3),py,Time Limit Exceeded,2104,14624,143,
s050535594,p02971,u940702313,1570544470,Python,Python (3.4.3),py,Wrong Answer,2104,17812,240,
s174175778,p02971,u258862116,1570222629,Python,Python (3.4.3),py,Accepted,586,13316,215,
s325647916,p02971,u573754721,1569946356,Python,Python (3.4.3),py,Accepted,578,13384,181,
s681926182,p02971,u117193815,1568851553,Python,Python (3.4.3),py,Time Limit Exceeded,2104,14636,168,
s226033667,p02971,u780962115,1568681530,Python,Python (3.4.3),py,Time Limit Exceeded,2104,17188,240,
s869912426,p02971,u417794477,1568256194,Python,Python (3.4.3),py,Time Limit Exceeded,2104,15608,161,
s153486771,p02971,u532514769,1568227041,Python,PyPy3 (2.4.0),py,Time Limit Exceeded,2108,56792,365,
s119726694,p02971,u505893372,1568161968,Python,Python (3.4.3),py,Accepted,549,14112,242,
s098131044,p02971,u291628833,1568091425,Python,Python (3.4.3),py,Accepted,565,14112,192,
s892178621,p02971,u732870425,1567820293,Python,Python (3.4.3),py,Time Limit Exceeded,2104,16076,131,
s241091256,p02971,u529012223,1567793492,Python,Python (3.4.3),py,Wrong Answer,576,12532,494,
s826163596,p02971,u222668979,1567718256,Python,PyPy3 (2.4.0),py,Time Limit Exceeded,2107,68568,190,
s294472324,p02971,u931118906,1567712966,Python,Python (3.4.3),py,Time Limit Exceeded,2104,11052,119,
s112790782,p02971,u181195295,1567181243,Python,Python (3.4.3),py,Runtime Error,17,3060,160,
s302758468,p02971,u597017430,1567055543,Python,Python (3.4.3),py,Accepted,625,14664,198,
s388355604,p02971,u987164499,1566750365,Python,Python (3.4.3),py,Wrong Answer,2104,11044,235,
s636888976,p02971,u809457879,1566739606,Python,Python (3.4.3),py,Accepted,503,14124,371,
s863386600,p02971,u412481017,1566669645,Python,Python (3.4.3),py,Accepted,470,14076,176,
s630807851,p02971,u002459665,1566515609,Python,Python (3.4.3),py,Time Limit Exceeded,2104,15604,150,
s344750846,p02971,u217582166,1566407633,Python,Python (3.4.3),py,Time Limit Exceeded,2104,16104,197,
s417508131,p02971,u082446606,1566104727,Python,Python (3.4.3),py,Runtime Error,598,14784,265,
s783773586,p02971,u716270596,1565767996,Python,Python (3.4.3),py,Accepted,657,34748,256,
s193157928,p02971,u704001626,1565576366,Python,Python (3.4.3),py,Runtime Error,333,11052,479,
s999893139,p02971,u366482170,1565574730,Python,Python (3.4.3),py,Accepted,583,13404,173,
s395512434,p02971,u203843959,1565407522,Python,Python (3.4.3),py,Accepted,524,12532,245,
