submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s723912542,p02256,u938878704,1530931852,Python,Python3,py,Accepted,20,5600,297,10/10
s180927445,p02256,u313089641,1531234866,Python,Python3,py,Wrong Answer,20,5604,264,2/10
s939950240,p02256,u313089641,1531235142,Python,Python3,py,Wrong Answer,20,5604,297,3/10
s224184907,p02256,u302561071,1532007915,Python,Python,py,Memory Limit Exceeded,10170,5971108,515,8/10
s426546152,p02256,u123669391,1532008487,Python,Python3,py,Wrong Answer,20,5592,392,0/10
s703285265,p02256,u260169299,1534869968,Python,Python3,py,Runtime Error,0,0,466,0/10
s501254041,p02256,u462873421,1535526606,Python,Python,py,Accepted,10,4636,158,10/10
s104837096,p02256,u317583692,1535618796,Python,Python3,py,Wrong Answer,20,5600,277,1/10
s896607600,p02256,u317583692,1535619230,Python,Python3,py,Wrong Answer,20,5600,238,0/10
s829162000,p02256,u670433235,1551488134,Python,Python3,py,Accepted,20,5600,151,10/10
s344079452,p02256,u332046103,1555678570,Python,Python3,py,Accepted,20,5600,179,10/10
s785507925,p02256,u498700706,1556157737,Python,Python3,py,Runtime Error,0,0,31,0/10
s510581922,p02256,u548252256,1556463023,Python,Python3,py,Accepted,20,5592,74,10/10
s235278044,p02256,u252054808,1556534199,Python,Python3,py,Accepted,20,5600,161,10/10
s047524614,p02256,u083560765,1556710541,Python,Python3,py,Accepted,20,5600,156,10/10
s626197267,p02256,u662822413,1559222884,Python,Python3,py,Wrong Answer,20,5596,146,2/10
s787843549,p02256,u662822413,1559223522,Python,Python3,py,Accepted,20,5600,167,10/10
s093602402,p02256,u507118101,1417233075,Python,Python,py,Wrong Answer,20,4200,131,3/10
s194699810,p02256,u370429022,1426610941,Python,Python3,py,Accepted,70,14756,120,10/10
s792584235,p02256,u604774382,1432551372,Python,Python3,py,Accepted,40,6724,171,10/10
s465300353,p02256,u777299405,1436074638,Python,Python3,py,Accepted,30,6724,75,10/10
