submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s903740649,p02407,u525366883,1535174177,Python,Python,py,Wrong Answer,10,4624,112,0/4
s613415002,p02407,u277375424,1540473147,Python,Python3,py,Runtime Error,0,0,92,0/4
s557969750,p02407,u025362139,1551310586,Python,Python3,py,Accepted,20,5624,187,4/4
s722325680,p02407,u792747184,1551463400,Python,Python3,py,Wrong Answer,20,5572,58,0/4
s935404710,p02407,u482227082,1556431423,Python,Python3,py,Accepted,20,5620,151,4/4
s100285057,p02407,u312033355,1558933497,Python,Python3,py,Accepted,20,5588,81,4/4
s696336984,p02407,u517275798,1558934556,Python,Python3,py,Accepted,20,5600,147,4/4
s555796464,p02407,u140201022,1410540075,Python,Python,py,Accepted,20,4188,57,4/4
s089680337,p02407,u839573768,1423032547,Python,Python,py,Accepted,20,4200,167,4/4
s219065666,p02407,u879226672,1424933892,Python,Python,py,Accepted,10,4184,62,4/4
s830748539,p02407,u828455902,1428603008,Python,Python,py,Accepted,20,4184,52,4/4
s022270145,p02407,u647766105,1429692088,Python,Python,py,Wrong Answer,10,4180,39,0/4
s346708314,p02407,u605525736,1438563645,Python,Python3,py,Runtime Error,0,0,77,0/4
s740428249,p02407,u306530296,1438564585,Python,Python3,py,Runtime Error,0,0,68,0/4
s924594237,p02407,u734743631,1442895478,Python,Python,py,Accepted,10,6352,108,4/4
s694558479,p02407,u180914582,1443595609,Python,Python3,py,Accepted,20,7420,67,4/4
s890458348,p02407,u775586391,1447817682,Python,Python3,py,Accepted,30,7548,75,4/4
s028369839,p02407,u982632052,1449406695,Python,Python3,py,Accepted,20,7316,85,4/4
s533705674,p02407,u279955105,1450847905,Python,Python3,py,Accepted,20,7472,62,4/4
s480670285,p02407,u731710433,1454390299,Python,Python3,py,WA: Presentation Error,20,7368,62,0/4
s643529291,p02407,u731710433,1454390485,Python,Python3,py,Accepted,30,7468,63,4/4
s837064964,p02407,u613805578,1454467048,Python,Python,py,Accepted,10,6360,76,4/4
s929037049,p02407,u532962080,1454467329,Python,Python,py,Runtime Error,0,0,89,0/4
s705332468,p02407,u532962080,1454467488,Python,Python,py,Runtime Error,0,0,77,0/4
s360860862,p02407,u532962080,1454467861,Python,Python,py,Runtime Error,0,0,49,0/4
s938431768,p02407,u532962080,1454468050,Python,Python,py,Runtime Error,0,0,61,0/4
s932425807,p02407,u233232390,1455000295,Python,Python,py,Wrong Answer,10,6232,102,0/4
s884011731,p02407,u619765879,1455011694,Python,Python,py,Runtime Error,0,0,108,0/4
s837823340,p02407,u619765879,1455011822,Python,Python,py,Accepted,10,6368,175,4/4
s355017834,p02407,u148101999,1456479987,Python,Python,py,Accepted,10,6284,154,4/4
s561858117,p02407,u653239976,1457155111,Python,Python,py,Accepted,10,6420,204,4/4
s195918822,p02407,u075836834,1457373426,Python,Python3,py,Accepted,20,7728,79,4/4
s277783192,p02407,u130979865,1459586684,Python,Python,py,Accepted,10,6428,122,4/4
s819820873,p02407,u762833208,1461729329,Python,Python,py,Accepted,10,6268,80,4/4
s996200522,p02407,u003309334,1462498307,Python,Python,py,Accepted,10,6320,145,4/4
s502197240,p02407,u525685480,1462538969,Python,Python3,py,Accepted,20,7692,112,4/4
s427604743,p02407,u104931506,1464526877,Python,Python3,py,Accepted,20,7448,75,4/4
s956989705,p02407,u756468156,1466564684,Python,Python3,py,Accepted,20,7676,72,4/4
s397864663,p02407,u853165039,1469537866,Python,Python3,py,Accepted,30,7636,89,4/4
s131686504,p02407,u587193722,1469631157,Python,Python3,py,WA: Presentation Error,30,7652,123,0/4
s831426262,p02407,u661284763,1469683184,Python,Python3,py,Wrong Answer,20,7340,73,0/4
s731639441,p02407,u671553883,1469683886,Python,Python3,py,Accepted,20,7416,58,4/4
s979033554,p02407,u382316013,1469683978,Python,Python3,py,Accepted,40,7380,58,4/4
s657346479,p02407,u264632995,1469683999,Python,Python3,py,Wrong Answer,20,7352,68,0/4
s073013377,p02407,u197204103,1471181731,Python,Python3,py,Wrong Answer,30,7368,90,0/4
s444126455,p02407,u197204103,1471183267,Python,Python3,py,Accepted,20,7632,120,4/4
s007795076,p02407,u135273382,1474781214,Python,Python3,py,Runtime Error,0,0,71,0/4
s069634834,p02407,u073709667,1476119698,Python,Python3,py,WA: Presentation Error,30,7544,92,0/4
s921939107,p02407,u801346721,1476758517,Python,Python3,py,Accepted,20,7652,122,4/4
s643990100,p02407,u236295012,1477793070,Python,Python3,py,Runtime Error,0,0,174,0/4
s139086329,p02407,u508732591,1480646031,Python,Python3,py,Accepted,20,7404,45,4/4
s565893030,p02407,u547492399,1483517471,Python,Python3,py,Wrong Answer,30,7292,54,0/4
s115035433,p02407,u148628801,1485930649,Python,Python3,py,WA: Presentation Error,30,7660,101,0/4
s868284580,p02407,u731896389,1487608716,Python,Python3,py,WA: Presentation Error,30,7604,152,0/4
s953026292,p02407,u780342333,1488368388,Python,Python3,py,Accepted,20,7536,74,4/4
s472529256,p02407,u022954704,1490080133,Python,Python3,py,Wrong Answer,20,7612,129,0/4
s780369975,p02407,u022954704,1490080263,Python,Python3,py,Accepted,20,7604,82,4/4
s734476852,p02407,u337016727,1490953446,Python,Python3,py,Accepted,30,7552,193,4/4
s591662273,p02407,u606989659,1491662138,Python,Python3,py,Runtime Error,0,0,128,0/4
s407571788,p02407,u645985665,1493623033,Python,Python3,py,Wrong Answer,30,7596,104,0/4
s469520655,p02407,u767850279,1494999700,Python,Python3,py,Wrong Answer,30,7600,151,0/4
s146187534,p02407,u714141025,1495772600,Python,Python3,py,Accepted,20,7616,97,4/4
s496786412,p02407,u650790815,1496116542,Python,Python3,py,Accepted,30,7428,46,4/4
s438192340,p02407,u627002197,1497717968,Python,Python3,py,Wrong Answer,20,7584,206,0/4
s607100342,p02407,u928051788,1498026764,Python,Python3,py,WA: Presentation Error,20,7572,151,0/4
s475992900,p02407,u580737984,1498543523,Python,Python3,py,Accepted,20,7640,162,4/4
s667725017,p02407,u831971779,1498722623,Python,Python3,py,Runtime Error,0,0,59,0/4
s170264437,p02407,u831971779,1498722634,Python,Python3,py,Wrong Answer,20,7644,49,0/4
s601222854,p02407,u802537549,1498918626,Python,Python3,py,Accepted,20,7412,46,4/4
s880051568,p02407,u027634846,1503357835,Python,Python3,py,Wrong Answer,30,7256,62,0/4
s252707885,p02407,u956226421,1504671269,Python,Python3,py,WA: Presentation Error,30,7652,241,0/4
s329885557,p02407,u956226421,1504671627,Python,Python3,py,WA: Presentation Error,20,7648,270,0/4
s952036287,p02407,u088372268,1505803738,Python,Python3,py,WA: Presentation Error,30,7712,209,0/4
s160654536,p02407,u350064373,1505898802,Python,Python3,py,Wrong Answer,20,7420,38,0/4
s060269146,p02407,u088372268,1506655839,Python,Python3,py,Accepted,20,7768,199,4/4
s724574540,p02407,u011632847,1507302357,Python,Python3,py,Accepted,20,7608,62,4/4
s684434627,p02407,u474232743,1507801354,Python,Python3,py,Wrong Answer,30,7540,92,0/4
s374647810,p02407,u197670577,1508075761,Python,Python,py,Runtime Error,0,0,85,0/4
s624025618,p02407,u585035894,1513937521,Python,Python3,py,Accepted,20,5536,41,4/4
s468647632,p02407,u210512327,1515143161,Python,Python3,py,WA: Presentation Error,20,5604,130,0/4
